,Name,Latitude,Longitude,Category,Cluster Labels
0,Youtube Fanfest,19.071101,72.874889,Concert Hall,3
1,National Centre for the Performing Arts (NCPA),18.92563130239702,72.81986117362976,Performing Arts,4
2,18.99 Latitude,19.00619,72.82819492,Concert Hall,3
3,"aditya birla hall, babulnath",19.089628219604492,72.85173797607422,Concert Hall,3
4,Roadies 9 Audition Venue,19.178206148801788,72.9378814479782,Concert Hall,3
5,thakur welfare hall,19.212681182433343,72.86723175022692,Concert Hall,3
6,Maheshwari Bhavan,19.080101013183594,72.98197937011719,Concert Hall,3
7,"JRM Grounds (Vile Parle), Colosseum Pre Fest Event",19.103905,72.837357,Concert Hall,3
8,Chatwani Banquets,19.115600013777517,72.85423936397632,Concert Hall,3
9,balashram,19.240655854395985,72.8605625661542,Concert Hall,3
10,"ASHIRWAD PAYAL HALL,  CORPORATE AV ENUE",19.160785067614935,72.84954877998771,Concert Hall,3
11,music venue,18.932045245559788,72.82718896865845,Concert Hall,3
12,Shubham Kanoti Mandal,19.191666977128587,72.97345218510186,Concert Hall,3
13,shree manav seva sangh,19.032044959740286,72.86100679952243,Concert Hall,3
14,Swarlata Recording Studio,19.14093589782715,72.82048797607422,Concert Hall,3
15,"Assumption Hall,St.Joseph High School",19.206699049860273,72.83920526504517,Concert Hall,3
16,Kora Kendra Grounds,19.219862,72.850586,Concert Hall,3
17,Sambhaji Raje Sabhagruha,19.173847982532997,72.96830260198185,Concert Hall,3
18,Aangan Classic Banquet Hall,19.226143699081465,72.85186812066613,Concert Hall,3
19,"JRM Grounds, Vile Parle (W)",19.103831,72.837361,Concert Hall,3
20,Bunt Center,19.05000205517308,73.0180003157797,Concert Hall,3
21,Yashwant Natya Mandir,19.02688175674481,72.843403326767,Concert Hall,3
22,Tejpal Hall,18.96276855027606,72.80907792391726,Concert Hall,3
23,Swami Nityanand Hall,19.107729375544636,72.85162003304461,Concert Hall,3
24,Filmalaya,19.116333043631716,72.84473694289159,Concert Hall,3
25,Navin Bhai Thakkar Hall,19.095664885723025,72.84629589621613,Concert Hall,3
26,Ravindra Natya Mandir,19.01494832411588,72.83019175547305,Theater,1
27,Chatwani Banquets,19.116401983705185,72.85045459477928,Concert Hall,3
28,Samaj Mandir Hall,19.085504522354192,72.9130283716222,Concert Hall,3
29,Nico hall,19.01212595526778,72.84999880304525,Concert Hall,3
30,Trident,19.06680832992521,72.86746828365813,Hotel,0
31,Taj Lands End,19.043677132890416,72.81926228959885,Hotel,0
32,Vivanta by Taj - President,18.91441306149257,72.82102773714136,Hotel,0
33,The St. Regis Mumbai,18.99457,72.824404,Hotel,0
34,JW Marriott Mumbai Juhu,19.1020372,72.8261813,Hotel,0
35,Courtyard Mumbai International Airport,19.1141672,72.8641313,Hotel,0
36,ITC Grand Central,18.998468844862458,72.83843278884888,Hotel,0
37,ITC Maratha,19.10402335643933,72.86963760852814,Hotel,0
38,Taj Mahal Palace & Tower,18.92230601080199,72.83357809321173,Hotel,0
39,Radisson Blu Mumbai International Airport,19.11022220381635,72.87862210283278,Hotel,0
40,Hotel Fountain,19.284879417374295,72.90427468616842,Resort,4
41,Executive Enclave Hotel,19.066799422202674,72.83024281114886,Hotel,0
42,Hyatt Regency,19.103543148622148,72.8714396060434,Hotel,0
43,Radisson Mumbai Andheri MIDC,19.117603,72.864718,Hotel,0
44,Hotel Sea Princess,19.09313359786729,72.82745481573147,Hotel,0
45,Ibis Hotel,19.096605847243953,72.85323481822087,Hotel,0
46,Trident,18.92787752948028,72.82071104273936,Hotel,0
47,Grand Hyatt,19.076832,72.85127,Hotel,0
48,VITS Hotel ★★★★☆ Mumbai,19.11163156436596,72.87131389426189,Hotel,0
49,Hotel Suba International,19.10614013007769,72.86021774649141,Hotel,0
50,RVG Hostel,19.11328219826374,72.8434934199413,Hostel,3
51,Saimaa Hotel,19.189548604679224,72.96260325805062,Hotel,0
52,Citizen Hotel,19.09569140792979,72.82681831714082,Hotel,0
53,Niranta Airport Transit Hotel & Lounge,19.100123667799153,72.8743436286265,Hotel,0
54,Hotel Residency Park,18.953255,72.83532,Hotel,0
55,Hotel Oriental Aster,19.107942690669464,72.86160103249473,Hotel,0
56,YWCA -  International Guest House,18.92563222066865,72.83074330299586,Hostel,3
57,Elphinestone Hotel,18.948736907150618,72.84057122285262,Hotel,0
58,Shilpa Residency,19.184377393762606,72.95406425743994,Hotel,0
59,The UniContinental,19.070340931213053,72.83920955928849,Hotel,0
60,Hungama Digital Services,19.08614066978261,72.89051588107895,Advertising Agency,2
61,Lotus Corporate Park,19.145572009287918,72.85340789664465,Advertising Agency,2
62,Lotus Colours,19.16507339477539,72.85100555419922,Advertising Agency,2
63,Akansha Healthcare,19.204763412475586,72.86909484863281,Advertising Agency,2
64,WYP Digital (What's Your Problem),19.07950711591218,72.84268577329867,Advertising Agency,2
65,Cerebrate Solutions,19.027804778639318,73.01801761214244,Advertising Agency,2
66,Touchstone Advertising,18.91846606843907,72.82742500305176,Office,0
67,Webchutney,19.120925,72.826781,Advertising Agency,2
68,Labradog,19.131501,72.855569,Advertising Agency,2
69,Kmedia.in,19.10434178937452,72.88686900554262,Advertising Agency,2
70,Business of Ideas,19.025038446623284,72.85181619537097,Advertising Agency,2
71,Httpool Digital Pvt Ltd,19.175961486051282,72.83469755188712,Advertising Agency,2
72,Thoughtrains,19.079638625969288,73.00926548922003,Advertising Agency,2
73,Vertoz Media Pvt. Ltd.,19.159759075676963,72.93694712527936,Advertising Agency,2
74,Please See,18.93748535380888,72.83368782012109,Advertising Agency,2
75,NPR Design,19.139465,72.834568,Advertising Agency,2
76,Arty Pen,19.200516057755145,72.84431575837289,Advertising Agency,2
77,Schbang Solutions,19.00340852193742,72.82808303602609,Advertising Agency,2
78,VMLY&R Mumbai,19.00926262869756,72.8347321711878,Advertising Agency,2
79,Team Pumpkin,19.118526,72.890227,Advertising Agency,2
80,LinOpinion GH,18.995499379893705,72.82510287910623,Advertising Agency,2
81,Curry Nation,19.016481,72.82804,Advertising Agency,2
82,Jack In The Box Worldwide,19.03184413164932,72.84616127481503,Advertising Agency,2
83,Thomas Cook,19.18839,72.96353,Travel Agency,1
84,Ali Travels,19.11573028564453,72.8571548461914,Travel Agency,1
85,Anjali Travels And Tours,19.104369759384813,72.85382973479219,Travel Agency,1
86,Saif Travels and Tours,18.950926,72.835434,Travel Agency,1
87,Rto Office,19.085345947153105,73.00968638272576,Travel Agency,1
88,Riya Holidays,18.93986438938499,72.83842486835238,Travel Agency,1
89,Jyoti travels,19.067225729460574,72.83962498287805,Travel Agency,1
90,millenia tours and travels,19.230301,72.856464,Travel Agency,1
91,Bonton Tours,19.107450485229492,72.8402328491211,Travel Agency,1
92,BEST travels,19.0552346,72.8358738,Travel Agency,1
93,Travel Smith,19.220597875049634,72.85440090768981,Travel Agency,1
94,Flight Shop,19.100963592529297,72.91828155517578,Travel Agency,1
95,Global Aviation Service,18.937053,72.827427,Travel Agency,1
96,FCM Travel Solutions,19.113509,72.880042,Travel Agency,1
97,Karmik Travels,19.102495,72.85323,Travel Agency,1
98,travelbyindia.com,18.957214119609848,72.81872022051795,Travel Agency,1
99,Veena World Corporate Office - NCP,19.081533326082763,72.89442003894543,Travel Agency,1
