,Name,Latitude,Longitude,Category
0,Youtube Fanfest,19.071101,72.874889,Concert Hall
1,National Centre for the Performing Arts (NCPA),18.92563130239702,72.81986117362976,Performing Arts
2,18.99 Latitude,19.00619,72.82819492,Concert Hall
3,"aditya birla hall, babulnath",19.089628219604492,72.85173797607422,Concert Hall
4,balashram,19.240655854395985,72.8605625661542,Concert Hall
5,Chatwani Banquets,19.115600013777517,72.85423936397632,Concert Hall
6,thakur welfare hall,19.212681182433343,72.86723175022692,Concert Hall
7,"JRM Grounds (Vile Parle), Colosseum Pre Fest Event",19.103905,72.837357,Concert Hall
8,"ASHIRWAD PAYAL HALL,  CORPORATE AV ENUE",19.160785067614935,72.84954877998771,Concert Hall
9,Swarlata Recording Studio,19.14093589782715,72.82048797607422,Concert Hall
10,shree manav seva sangh,19.032044959740286,72.86100679952243,Concert Hall
11,"Assumption Hall,St.Joseph High School",19.206699049860273,72.83920526504517,Concert Hall
12,Shubham Kanoti Mandal,19.191666977128587,72.97345218510186,Concert Hall
13,music venue,18.932045245559788,72.82718896865845,Concert Hall
14,Maheshwari Bhavan,19.080101013183594,72.98197937011719,Concert Hall
15,Roadies 9 Audition Venue,19.178206148801788,72.9378814479782,Concert Hall
16,Kora Kendra Grounds,19.219862,72.850586,Concert Hall
17,"JRM Grounds, Vile Parle (W)",19.103831,72.837361,Concert Hall
18,Yashwant Natya Mandir,19.02688175674481,72.843403326767,Concert Hall
19,Filmalaya,19.116333043631716,72.84473694289159,Concert Hall
20,Tejpal Hall,18.96276855027606,72.80907792391726,Concert Hall
21,Navin Bhai Thakkar Hall,19.095664885723025,72.84629589621613,Concert Hall
22,Sambhaji Raje Sabhagruha,19.173847982532997,72.96830260198185,Concert Hall
23,Ravindra Natya Mandir,19.01494832411588,72.83019175547305,Theater
24,Bunt Center,19.05000205517308,73.0180003157797,Concert Hall
25,Aangan Classic Banquet Hall,19.226143699081465,72.85186812066613,Concert Hall
26,Swami Nityanand Hall,19.107729375544636,72.85162003304461,Concert Hall
27,Samaj Mandir Hall,19.085504522354192,72.9130283716222,Concert Hall
28,Chatwani Banquets,19.116401983705185,72.85045459477928,Concert Hall
29,Nico hall,19.01212595526778,72.84999880304525,Concert Hall
